n, time
201, 0
401, 0
601, 5
801, 0
1001, 5
1201, 15
1401, 15
1601, 15
1801, 20
2001, 25
2201, 30
2401, 35
2601, 70
2801, 50
3001, 60
3201, 70
3401, 80
3601, 90
3801, 135
4001, 110
4201, 120
4401, 135
4601, 195
4801, 230
5001, 170
5201, 180
5401, 210
5601, 220
5801, 240
6001, 300
6201, 330
6401, 280
6601, 300
6801, 320
7001, 410
7201, 380
7401, 390
7601, 430
7801, 500
8001, 530
8201, 480
8401, 510
8601, 530
8801, 560
9001, 570
9201, 690
9401, 630
9601, 660
9801, 780
10001, 722
